"year","fips_state","state_code","state_name","poverty_rate","poverty_rate_moe","poverty_count","poverty_count_moe","poverty_universe","median_hh_income","median_hh_income_moe"
"2016","50","VT","Vermont",0.113,0.006,67825,3711,600079,57661,1433
"2017","50","VT","Vermont",0.108,0.007,65068,4036,599875,58271,1691
"2018","50","VT","Vermont",0.107,0.006,64431,3587,601250,60917,1376
"2019","50","VT","Vermont",0.101,0.006,60624,3395,599036,63293,1594
"2020","50","VT","Vermont",0.094,0.006,56281,3459,598881,67717,2094
"2021","50","VT","Vermont",0.102,0.005,63208,3348,621332,72415,2019
"1989","51","VA","Virginia",0.105,0.0045,638729,28091,,32555,1194
"1993","51","VA","Virginia",0.12,0.0085,780072,55624,,34818,1247
"1995","51","VA","Virginia",0.113,0.0045,742306,27466,,36367,1562
"1996","51","VA","Virginia",0.115,0.0085,769893,56846,,38510,1961
"1997","51","VA","Virginia",0.116,0.0095,782827,61377,,40209,1875
"1998","51","VA","Virginia",0.102,0.0095,696205,63254,6802581,42622,1846
"1999","51","VA","Virginia",0.09,0.009,620209,62257,6907169,44848,1411
"2000","51","VA","Virginia",0.089,0.006,620938,41586,7004972,46789,1849
"2001","51","VA","Virginia",0.088,0.006,620244,42465,7081089,48130,1572
"2002","51","VA","Virginia",0.096,0.0065,692127,46899,7220171,48224,1865
"2003","51","VA","Virginia",0.1,0.0065,724322,45956,7275601,50028,1781
"2004","51","VA","Virginia",0.095,0.0075,705037,57608,7391533,51103,1517
"2005","51","VA","Virginia",0.1,0.0025,728858,16179,7309753,54207,514
"2006","51","VA","Virginia",0.096,0.0025,713181,16336,7404168,56297,443
"2007","51","VA","Virginia",0.099,0.002,739135,16697,7466132,59575,563
"2008","51","VA","Virginia",0.102,0.002,766852,18210,7518337,61210,429
"2009","51","VA","Virginia",0.106,0.0025,805555,18478,7623662,59372,468
"2010","51","VA","Virginia",0.111,0.002,865746,17223,7780621,60665,443
"2011","51","VA","Virginia",0.116,0.002,912779,18546,7854277,61877,494
"2012","51","VA","Virginia",0.118,0.002,936384,17770,7936889,61782,403
"2013","51","VA","Virginia",0.117,0.002,941059,18714,8010546,62745,644
"2014","51","VA","Virginia",0.118,0.002,955541,18652,8080272,64923,605
"2015","51","VA","Virginia",0.112,0.002,914226,19013,8131331,66263,533
"2016","51","VA","Virginia",0.11,0.002,897244,19915,8158203,68127,723
"2017","51","VA","Virginia",0.107,0.002,876438,19675,8221001,71518,535
"2018","51","VA","Virginia",0.107,0.002,884898,19739,8264098,72600,669
"2019","51","VA","Virginia",0.099,0.002,822944,17941,8279326,76471,822
"2020","51","VA","Virginia",0.092,0.003,769479,21838,8336520,79154,818
"2021","51","VA","Virginia",0.103,0.002,862792,19170,8401206,80926,723
"1989","53","WA","Washington",0.11,0.004,530146,21087,,30634,1184
"1993","53","WA","Washington",0.12,0.009,641990,47006,,34074,1308
"1995","53","WA","Washington",0.108,0.0045,592072,25173,,37015,1642
"1996","53","WA","Washington",0.115,0.009,641386,50618,,37847,1998
"1997","53","WA","Washington",0.102,0.0095,579789,55196,,41715,1963
"1998","53","WA","Washington",0.099,0.0095,569830,53661,5727098,44307,2068
"1999","53","WA","Washington",0.099,0.009,574943,52244,5813321,44742,1477
"2000","53","WA","Washington",0.096,0.0065,567575,37058,5884126,44846,1933
"2001","53","WA","Washington",0.099,0.0065,586456,36106,5951201,46284,1723
"2002","53","WA","Washington",0.103,0.0065,623019,40685,6034250,46399,1768
"2003","53","WA","Washington",0.11,0.007,671221,41527,6101030,48185,1473
"2004","53","WA","Washington",0.116,0.0085,715271,52359,6189059,48438,1555
"2005","53","WA","Washington",0.12,0.0025,732049,15434,6118258,49372,603
"2006","53","WA","Washington",0.118,0.0025,736907,14415,6261156,52571,462
"2007","53","WA","Washington",0.114,0.002,722589,14304,6337703,55628,486
"2008","53","WA","Washington",0.113,0.0025,727156,15341,6418142,58081,564
"2009","53","WA","Washington",0.123,0.003,803266,16672,6530722,56479,511
"2010","53","WA","Washington",0.135,0.003,890251,19232,6615957,55584,526
"2011","53","WA","Washington",0.139,0.003,931605,19001,6687040,56811,551
"2012","53","WA","Washington",0.136,0.003,916976,20715,6761950,57574,574
"2013","53","WA","Washington",0.141,0.003,963088,19245,6836264,58431,649
"2014","53","WA","Washington",0.132,0.003,913463,18108,6927892,61358,476
"2015","53","WA","Washington",0.122,0.003,860734,18083,7036738,64080,770
"2016","53","WA","Washington",0.113,0.002,808582,17154,7156291,67064,583
